url,epiweek,year
https://iris.who.int/bitstream/handle/10665/376440/OEW12-1824032024.pdf,12,2024
https://iris.who.int/bitstream/handle/10665/376439/OEW11-1117032024.pdf,11,2024
https://iris.who.int/bitstream/handle/10665/376438/OEW10-0410032024.pdf,10,2024
https://iris.who.int/bitstream/handle/10665/376302/OEW09-260203032024.pdf,9,2024
https://iris.who.int/bitstream/handle/10665/376295/OEW08-1925022024.pdf,8,2024
https://iris.who.int/bitstream/handle/10665/376189/OEW07-1218022024.pdf,7,2024
https://iris.who.int/bitstream/handle/10665/376194/OEW06-0511022024.pdf,6,2024
https://iris.who.int/bitstream/handle/10665/376045/OEW05-290104022024.pdf,5,2024
https://iris.who.int/bitstream/handle/10665/375935/OEW04-2228012024.pdf,4,2024
https://iris.who.int/bitstream/handle/10665/375937/OEW03-1521012024.pdf,3,2024
https://iris.who.int/bitstream/handle/10665/375872/OEW02-0814012024.pdf,2,2024
https://iris.who.int/bitstream/handle/10665/375835/OEW01-0107012024.pdf,1,2024
https://iris.who.int/bitstream/handle/10665/375779/OEW52-2531122023.pdf,52,2023
https://iris.who.int/bitstream/handle/10665/375780/OEW51-1824122023.pdf,51,2023
https://iris.who.int/bitstream/handle/10665/375728/OEW50-1117122023.pdf,50,2023
https://iris.who.int/bitstream/handle/10665/375588/OEW49-0410122023.pdf,49,2023
https://iris.who.int/bitstream/handle/10665/375486/OEW48-271103122023.pdf,48,2023
https://iris.who.int/bitstream/handle/10665/375435/OEW47-2026112023.pdf,47,2023
https://iris.who.int/bitstream/handle/10665/374828/OEW46-1319112023.pdf,46,2023
https://iris.who.int/bitstream/handle/10665/374727/OEW45-0612112023.pdf,45,2023
https://iris.who.int/bitstream/handle/10665/374510/OEW44-301005112023.pdf,44,2023
https://iris.who.int/bitstream/handle/10665/374089/OEW43-2329102023.pdf,43,2023
https://iris.who.int/bitstream/handle/10665/373912/OEW42-1622102023.pdf,42,2023
https://iris.who.int/bitstream/handle/10665/373906/OEW41-0915102023.pdf,41,2023
https://iris.who.int/bitstream/handle/10665/373489/OEW40-0208102023.pdf,40,2023
https://iris.who.int/bitstream/handle/10665/373430/OEW39-250901102023.pdf,39,2023
https://iris.who.int/bitstream/handle/10665/373359/OEW38-24092023.pdf,38,2023
